B,100,1,dijkstra,1751,3293604696
B,150,1,dijkstra,6445,10873104528
B,200,1,dijkstra,15780,25456446432
B,250,1,dijkstra,30539,49351343968
B,300,1,dijkstra,54166,84876567064
B,350,1,dijkstra,87260,134285422080
B,400,1,dijkstra,129359,199977221272
B,50,1,dijkstra,234,437855856
B,100,1,mohri,2927,5736419464
B,150,1,mohri,19939,32565115960
B,200,1,mohri,57135,90037880344
B,250,1,mohri,128869,197416296160
B,300,1,mohri,193112,285275406592
B,350,1,mohri,392386,572154321000
B,400,1,mohri,485903,713307883160
B,50,1,mohri,302,664597176
B,100,1,mohrip,988,2021385784
B,150,1,mohrip,5049,8218462552
B,200,1,mohrip,11403,18172874768
B,250,1,mohrip,21222,32547264880
B,300,1,mohrip,38337,56851473144
B,350,1,mohrip,64983,95063052856
B,400,1,mohrip,97869,145405251880
B,50,1,mohrip,147,284518544